#Query	Sbjct	Coverage	Percent_Identity
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	84.196
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	93.088
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	85.667
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	83.056
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	83.918
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	85.821
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	82.848
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	77.729
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	94.667
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	83.71
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	90.517
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	95.402
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	88.785
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	89.412
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	90.0
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	100.0
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	90.411
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	89.189
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	88.0
NODE_38_length_26805_cov_463.564202	LT635763.1	65.0	84.337
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	85.157
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	84.71
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	87.207
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	82.646
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	84.973
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	86.636
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	83.644
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	81.84
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	79.285
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	80.318
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	81.006
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	77.373
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	82.297
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	85.366
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	84.516
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	84.354
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	80.818
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	86.381
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	81.982
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	92.857
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	84.874
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	79.331
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	94.574
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	79.592
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	89.091
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	94.382
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	92.308
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	96.104
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	84.685
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	93.151
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	95.385
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	94.03
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	94.03
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	85.714
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	90.667
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	90.411
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	88.312
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	94.545
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	91.803
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	83.784
NODE_38_length_26805_cov_463.564202	CM010605.1	57.0	96.667
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	81.417
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	83.749
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	83.403
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	81.245
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	84.806
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	81.759
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	86.572
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	80.124
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	80.192
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	79.365
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	83.396
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	80.5
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	83.951
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	83.382
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	81.33
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	84.039
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	88.991
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	83.122
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	86.667
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	79.553
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	89.726
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	77.151
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	89.147
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	91.262
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	92.308
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	81.538
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	90.909
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	88.75
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	92.537
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	96.364
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	84.946
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	85.882
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	86.25
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	85.366
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	91.525
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	79.661
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	86.301
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	85.526
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	92.453
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	87.302
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	87.302
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	84.615
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	82.051
NODE_38_length_26805_cov_463.564202	FN870377.1	61.0	80.0
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	88.283
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	88.127
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	84.065
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	87.635
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	85.393
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	85.149
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	82.807
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	83.459
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	85.89
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	83.355
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	78.606
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	82.869
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	85.784
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	79.097
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	76.123
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	80.186
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	84.667
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	89.623
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	85.259
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	83.643
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	92.073
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	78.167
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	90.361
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	86.957
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	83.77
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	83.019
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	79.621
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	93.103
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	88.542
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	83.621
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	92.0
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	88.372
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	89.744
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	88.75
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	98.182
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	74.895
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	91.304
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	78.431
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	84.783
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	88.889
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	86.486
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	83.333
NODE_38_length_26805_cov_463.564202	AP018713.1	63.0	74.457
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	84.476
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	83.542
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	82.756
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	83.6
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	86.024
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	82.629
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	79.655
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	82.911
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	80.196
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	79.773
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	81.216
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	88.078
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	80.135
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	87.135
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	91.093
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	86.477
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	87.072
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	81.212
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	84.906
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	81.208
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	89.888
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	87.692
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	90.588
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	79.701
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	81.467
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	88.889
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	78.93
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	86.047
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	90.511
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	87.654
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	86.957
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	83.23
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	83.459
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	78.974
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	94.872
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	92.045
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	94.595
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	90.0
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	93.056
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	91.781
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	90.541
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	85.87
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	83.696
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	84.81
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	80.198
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	84.507
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	89.286
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	81.176
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	95.122
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	85.714
NODE_38_length_26805_cov_463.564202	KC993176.1	66.0	83.636
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	81.432
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	86.441
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	82.058
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	84.726
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	79.294
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	85.549
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	86.579
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	78.954
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	79.111
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	86.141
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	78.628
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	86.104
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	84.788
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	86.053
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	78.254
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	93.213
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	86.142
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	77.234
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	84.298
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	91.86
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	83.898
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	93.197
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	92.0
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	90.361
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	78.028
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	78.75
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	89.308
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	81.124
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	77.288
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	90.435
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	84.177
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	89.286
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	91.089
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	94.872
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	79.255
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	88.776
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	85.981
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	89.412
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	91.667
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	83.333
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	96.364
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	88.0
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	85.714
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	86.667
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	83.333
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	84.722
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	83.333
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	85.0
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	83.871
NODE_38_length_26805_cov_463.564202	NC_010166.1	64.0	82.759
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	82.913
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	83.776
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	81.708
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	84.517
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	85.042
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	83.41
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	83.198
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	82.545
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.217
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	82.139
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	82.54
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	81.897
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	82.125
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	85.101
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	85.668
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	89.916
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	81.905
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.076
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.192
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	84.337
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.528
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.957
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.31
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	90.698
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	77.574
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	90.517
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	77.007
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	88.034
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	93.59
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	93.506
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	88.636
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.316
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	82.114
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	86.905
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	96.364
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	97.917
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	88.235
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	84.416
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	85.915
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	89.831
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	84.932
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	85.0
NODE_38_length_26805_cov_463.564202	KC993194.1	61.0	78.947
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	86.327
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	82.673
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	80.626
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.168
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	83.771
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	86.291
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	85.268
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	80.12
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	79.73
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	76.834
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	78.561
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	85.049
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	85.112
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	82.705
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	74.286
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	93.665
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	79.281
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.512
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	80.549
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.838
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	92.442
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	78.754
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	91.304
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	92.053
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	89.157
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	82.203
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	82.427
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	89.308
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	86.111
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.043
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	86.452
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	76.758
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	90.435
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.177
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	89.286
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	94.872
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	88.119
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	92.5
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	89.888
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	89.412
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	82.645
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	91.026
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	87.654
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	88.0
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	86.667
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	80.952
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.722
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	79.032
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.722
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	82.143
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	85.484
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.211
NODE_38_length_26805_cov_463.564202	MF163266.1	66.0	84.615
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	80.493
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	78.098
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	80.787
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	81.867
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	77.336
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	80.303
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	74.197
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	74.745
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	79.787
NODE_38_length_26805_cov_463.564202	GU136397.1	49.0	82.315
