#Query	Sbjct	Coverage	Percent_Identity
Candida.alai.HQ267968_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	80.0
Candida.alai.HQ267968_nad1_genbank	NODE_38_length_26805_cov_463.564202	98.0	86.026
Candida.alai.HQ267968_nad2_genbank	NODE_38_length_26805_cov_463.564202	82.0	81.081
Candida.alai.HQ267968_nad3_genbank	NODE_38_length_26805_cov_463.564202	88.0	81.341
Candida.alai.HQ267968_nad4_genbank	NODE_38_length_26805_cov_463.564202	90.0	80.841
Candida.alai.HQ267968_nad5_genbank	NODE_38_length_26805_cov_463.564202	81.0	79.955
Candida.albicans.AF285261_atp6_genbank	NODE_38_length_26805_cov_463.564202	96.0	73.919
Candida.albicans.AF285261_atp9_genbank	NODE_38_length_26805_cov_463.564202	96.0	80.18
Candida.albicans.AF285261_cox1_mfannot	NODE_38_length_26805_cov_463.564202	96.0	78.665
Candida.albicans.AF285261_cox1_mfannot	NODE_38_length_26805_cov_463.564202	96.0	79.383
Candida.albicans.AF285261_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	81.399
Candida.albicans.AF285261_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	85.185
Candida.albicans.AF285261_cox3_genbank	NODE_38_length_26805_cov_463.564202	99.0	76.063
Candida.albicans.AF285261_nad1_genbank	NODE_38_length_26805_cov_463.564202	94.0	81.909
Candida.albicans.AF285261_nad3_genbank	NODE_38_length_26805_cov_463.564202	84.0	79.167
Candida.albicans.AF285261_nad4_genbank	NODE_38_length_26805_cov_463.564202	85.0	76.929
Candida.albicans.AF285261_nad4L_genbank	NODE_38_length_26805_cov_463.564202	92.0	79.253
Candida.albicans.AF285261_nad5_genbank	NODE_38_length_26805_cov_463.564202	76.0	75.803
[Candida].auris.AP018713_atp6_genbank	NODE_38_length_26805_cov_463.564202	100.0	83.512
[Candida].auris.AP018713_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	86.147
[Candida].auris.AP018713_cob_genbank	NODE_38_length_26805_cov_463.564202	98.0	85.89
[Candida].auris.AP018713_cob_genbank	NODE_38_length_26805_cov_463.564202	98.0	86.402
[Candida].auris.AP018713_cox1_genbank	NODE_38_length_26805_cov_463.564202	97.0	85.393
[Candida].auris.AP018713_cox1_genbank	NODE_38_length_26805_cov_463.564202	97.0	82.845
[Candida].auris.AP018713_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	89.03
[Candida].auris.AP018713_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	80.807
[Candida].auris.AP018713_nad1_genbank	NODE_38_length_26805_cov_463.564202	95.0	89.549
[Candida].auris.AP018713_nad2_genbank	NODE_38_length_26805_cov_463.564202	82.0	84.093
[Candida].auris.AP018713_nad3_genbank	NODE_38_length_26805_cov_463.564202	88.0	82.37
[Candida].auris.AP018713_nad4_genbank	NODE_38_length_26805_cov_463.564202	91.0	88.283
[Candida].auris.AP018713_nad4L_genbank	NODE_38_length_26805_cov_463.564202	100.0	89.804
[Candida].auris.AP018713_nad5_genbank	NODE_38_length_26805_cov_463.564202	94.0	86.912
[Candida].auris.AP018713_nad5_genbank	NODE_38_length_26805_cov_463.564202	94.0	82.807
[Candida].auris.AP018713_nad6_genbank	NODE_38_length_26805_cov_463.564202	95.0	84.062
[Candida].auris.AP018713_nad6_genbank	NODE_38_length_26805_cov_463.564202	95.0	81.081
Candida.blackwelliae.KC993199_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	77.2
Candida.blackwelliae.KC993199_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	82.328
Candida.blackwelliae.KC993199_cob_genbank	NODE_38_length_26805_cov_463.564202	89.0	82.927
Candida.blackwelliae.KC993199_cob_genbank	NODE_38_length_26805_cov_463.564202	89.0	83.151
Candida.blackwelliae.KC993199_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	80.207
Candida.blackwelliae.KC993199_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	81.224
Candida.blackwelliae.KC993199_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	84.972
Candida.blackwelliae.KC993199_cox3_genbank	NODE_38_length_26805_cov_463.564202	98.0	80.476
Candida.blackwelliae.KC993199_nad1_genbank	NODE_38_length_26805_cov_463.564202	90.0	86.893
Candida.blackwelliae.KC993199_nad3_genbank	NODE_38_length_26805_cov_463.564202	83.0	83.668
Candida.blackwelliae.KC993199_nad4_genbank	NODE_38_length_26805_cov_463.564202	92.0	79.068
Candida.blackwelliae.KC993199_nad4L_genbank	NODE_38_length_26805_cov_463.564202	82.0	78.873
Candida.blackwelliae.KC993199_nad5_genbank	NODE_38_length_26805_cov_463.564202	71.0	75.876
Candida.bohioensis.KF214631_atp6_genbank	NODE_38_length_26805_cov_463.564202	100.0	76.26
Candida.bohioensis.KF214631_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	80.952
Candida.bohioensis.KF214631_cob_genbank	NODE_38_length_26805_cov_463.564202	95.0	81.064
Candida.bohioensis.KF214631_cob_genbank	NODE_38_length_26805_cov_463.564202	95.0	81.551
Candida.bohioensis.KF214631_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	82.118
Candida.bohioensis.KF214631_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	79.804
Candida.bohioensis.KF214631_cox2_genbank	NODE_38_length_26805_cov_463.564202	96.0	84.188
Candida.bohioensis.KF214631_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	79.83
Candida.bohioensis.KF214631_nad1_genbank	NODE_38_length_26805_cov_463.564202	98.0	84.735
Candida.bohioensis.KF214631_nad2_genbank	NODE_38_length_26805_cov_463.564202	71.0	73.774
Candida.bohioensis.KF214631_nad4_genbank	NODE_38_length_26805_cov_463.564202	85.0	79.281
Candida.bohioensis.KF214631_nad4L_genbank	NODE_38_length_26805_cov_463.564202	82.0	78.571
Candida.bohioensis.KF214631_nad5_genbank	NODE_38_length_26805_cov_463.564202	92.0	77.439
Candida.bohioensis.KF214631_nad5_genbank	NODE_38_length_26805_cov_463.564202	92.0	82.857
[Candida].bracarensis.KU920682_cob_genbank	NODE_38_length_26805_cov_463.564202	89.0	84.278
[Candida].bracarensis.KU920682_cob_genbank	NODE_38_length_26805_cov_463.564202	89.0	79.226
[Candida].bracarensis.KU920682_cox1_genbank	NODE_38_length_26805_cov_463.564202	75.0	78.483
[Candida].bracarensis.KU920682_cox1_genbank	NODE_38_length_26805_cov_463.564202	75.0	78.586
[Candida].bracarensis.KU920682_cox2_genbank	NODE_38_length_26805_cov_463.564202	93.0	79.859
Candida.buenavistaensis.KC993175_cob_genbank	NODE_38_length_26805_cov_463.564202	96.0	79.879
Candida.buenavistaensis.KC993175_cob_genbank	NODE_38_length_26805_cov_463.564202	96.0	79.362
Candida.buenavistaensis.KC993175_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	80.974
Candida.buenavistaensis.KC993175_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	80.785
Candida.buenavistaensis.KC993175_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	79.749
Candida.buenavistaensis.KC993175_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	82.456
Candida.buenavistaensis.KC993175_cox3_genbank	NODE_38_length_26805_cov_463.564202	98.0	76.923
Candida.buenavistaensis.KC993175_nad1_genbank	NODE_38_length_26805_cov_463.564202	91.0	81.43
Candida.buenavistaensis.KC993175_nad4_genbank	NODE_38_length_26805_cov_463.564202	87.0	78.271
Candida.buenavistaensis.KC993175_nad5_genbank	NODE_38_length_26805_cov_463.564202	76.0	77.16
[Candida].castellii.FM995165_atp6_genbank	NODE_38_length_26805_cov_463.564202	71.0	75.875
[Candida].castellii.FM995165_atp6_genbank	NODE_38_length_26805_cov_463.564202	71.0	88.372
[Candida].castellii.FM995165_cox1_genbank	NODE_38_length_26805_cov_463.564202	82.0	76.667
[Candida].castellii.FM995165_cox1_genbank	NODE_38_length_26805_cov_463.564202	82.0	78.182
[Candida].castellii.FM995165_cox2_genbank	NODE_38_length_26805_cov_463.564202	82.0	79.032
Candida.chauliodis.KF017574_atp6_genbank	NODE_38_length_26805_cov_463.564202	95.0	72.438
Candida.chauliodis.KF017574_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	78.448
Candida.chauliodis.KF017574_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	78.539
Candida.chauliodis.KF017574_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	76.458
Candida.chauliodis.KF017574_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	77.753
Candida.chauliodis.KF017574_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	78.805
Candida.chauliodis.KF017574_cox2_genbank	NODE_38_length_26805_cov_463.564202	89.0	79.63
Candida.chauliodis.KF017574_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	76.642
Candida.chauliodis.KF017574_nad1_genbank	NODE_38_length_26805_cov_463.564202	99.0	81.994
Candida.chauliodis.KF017574_nad4_genbank	NODE_38_length_26805_cov_463.564202	73.0	79.143
Candida.corydali.KC993198_atp6_genbank	NODE_38_length_26805_cov_463.564202	100.0	72.859
Candida.corydali.KC993198_atp9_genbank	NODE_38_length_26805_cov_463.564202	87.0	78.431
Candida.corydali.KC993198_cob_genbank	NODE_38_length_26805_cov_463.564202	98.0	78.097
Candida.corydali.KC993198_cob_genbank	NODE_38_length_26805_cov_463.564202	98.0	76.591
Candida.corydali.KC993198_cox1_genbank	NODE_38_length_26805_cov_463.564202	94.0	77.666
Candida.corydali.KC993198_cox1_genbank	NODE_38_length_26805_cov_463.564202	94.0	80.351
Candida.corydali.KC993198_cox2_genbank	NODE_38_length_26805_cov_463.564202	95.0	82.011
Candida.corydali.KC993198_cox3_genbank	NODE_38_length_26805_cov_463.564202	97.0	75.72
Candida.corydali.KC993198_nad1_genbank	NODE_38_length_26805_cov_463.564202	96.0	83.778
Candida.corydali.KC993198_nad2_genbank	NODE_38_length_26805_cov_463.564202	71.0	75.126
Candida.corydali.KC993198_nad4_genbank	NODE_38_length_26805_cov_463.564202	83.0	80.452
Candida.corydali.KC993198_nad4L_genbank	NODE_38_length_26805_cov_463.564202	95.0	77.869
Candida.corydali.KC993198_nad5_genbank	NODE_38_length_26805_cov_463.564202	75.0	77.911
Candida.frijolesensis.HM594866_atp6_genbank	NODE_38_length_26805_cov_463.564202	97.0	76.119
Candida.frijolesensis.HM594866_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	81.86
Candida.frijolesensis.HM594866_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	79.123
Candida.frijolesensis.HM594866_cox1_genbank	NODE_38_length_26805_cov_463.564202	93.0	82.915
Candida.frijolesensis.HM594866_cox1_genbank	NODE_38_length_26805_cov_463.564202	93.0	81.612
Candida.frijolesensis.HM594866_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	85.654
Candida.frijolesensis.HM594866_cox3_genbank	NODE_38_length_26805_cov_463.564202	99.0	79.365
Candida.frijolesensis.HM594866_nad1_genbank	NODE_38_length_26805_cov_463.564202	97.0	86.275
Candida.frijolesensis.HM594866_nad2_genbank	NODE_38_length_26805_cov_463.564202	78.0	75.708
Candida.frijolesensis.HM594866_nad3_genbank	NODE_38_length_26805_cov_463.564202	90.0	81.586
Candida.frijolesensis.HM594866_nad4_genbank	NODE_38_length_26805_cov_463.564202	97.0	80.795
Candida.frijolesensis.HM594866_nad5_genbank	NODE_38_length_26805_cov_463.564202	86.0	77.045
[Candida].glabrata.NC_004691_cob_genbank	NODE_38_length_26805_cov_463.564202	95.0	81.583
[Candida].glabrata.NC_004691_cob_genbank	NODE_38_length_26805_cov_463.564202	95.0	79.388
[Candida].glabrata.NC_004691_cox1_genbank	NODE_38_length_26805_cov_463.564202	79.0	78.033
[Candida].glabrata.NC_004691_cox1_genbank	NODE_38_length_26805_cov_463.564202	79.0	77.576
[Candida].glabrata.NC_004691_cox2_genbank	NODE_38_length_26805_cov_463.564202	90.0	80.323
[Candida].intermedia.LT635763_atp6_mfannot	NODE_38_length_26805_cov_463.564202	99.0	85.061
[Candida].intermedia.LT635763_atp9_mfannot	NODE_38_length_26805_cov_463.564202	100.0	85.281
[Candida].intermedia.LT635763_cob_mfannot	NODE_38_length_26805_cov_463.564202	97.0	87.404
[Candida].intermedia.LT635763_cob_mfannot	NODE_38_length_26805_cov_463.564202	97.0	86.837
[Candida].intermedia.LT635763_cox1_mfannot	NODE_38_length_26805_cov_463.564202	99.0	86.986
[Candida].intermedia.LT635763_cox1_mfannot	NODE_38_length_26805_cov_463.564202	99.0	87.306
[Candida].intermedia.LT635763_cox2_mfannot	NODE_38_length_26805_cov_463.564202	93.0	89.945
[Candida].intermedia.LT635763_cox3_mfannot	NODE_38_length_26805_cov_463.564202	100.0	84.815
[Candida].intermedia.LT635763_nad1_mfannot	NODE_38_length_26805_cov_463.564202	99.0	89.659
[Candida].intermedia.LT635763_nad2_mfannot	NODE_38_length_26805_cov_463.564202	81.0	82.586
[Candida].intermedia.LT635763_nad3_mfannot	NODE_38_length_26805_cov_463.564202	88.0	88.529
[Candida].intermedia.LT635763_nad4_mfannot	NODE_38_length_26805_cov_463.564202	86.0	88.434
[Candida].intermedia.LT635763_nad4L_mfannot	NODE_38_length_26805_cov_463.564202	100.0	88.235
[Candida].intermedia.LT635763_nad5_mfannot	NODE_38_length_26805_cov_463.564202	95.0	87.658
[Candida].intermedia.LT635763_nad5_mfannot	NODE_38_length_26805_cov_463.564202	95.0	89.61
[Candida].intermedia.LT635763_nad6_mfannot	NODE_38_length_26805_cov_463.564202	98.0	78.807
Candida.jiufengensis.GU136397_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	74.967
Candida.jiufengensis.GU136397_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	78.879
Candida.jiufengensis.GU136397_cob_genbank	NODE_38_length_26805_cov_463.564202	90.0	80.336
Candida.jiufengensis.GU136397_cob_genbank	NODE_38_length_26805_cov_463.564202	90.0	80.349
Candida.jiufengensis.GU136397_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	78.62
Candida.jiufengensis.GU136397_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	77.26
Candida.jiufengensis.GU136397_cox2_genbank	NODE_38_length_26805_cov_463.564202	99.0	83.835
Candida.jiufengensis.GU136397_cox3_genbank	NODE_38_length_26805_cov_463.564202	98.0	77.819
Candida.jiufengensis.GU136397_nad1_genbank	NODE_38_length_26805_cov_463.564202	99.0	81.818
Candida.jiufengensis.GU136397_nad2_genbank	NODE_38_length_26805_cov_463.564202	77.0	74.22
Candida.jiufengensis.GU136397_nad3_genbank	NODE_38_length_26805_cov_463.564202	76.0	77.918
Candida.jiufengensis.GU136397_nad4_genbank	NODE_38_length_26805_cov_463.564202	91.0	82.72
Candida.jiufengensis.GU136397_nad4L_genbank	NODE_38_length_26805_cov_463.564202	94.0	82.573
Candida.jiufengensis.GU136397_nad5_genbank	NODE_38_length_26805_cov_463.564202	78.0	78.855
Candida.labiduridarum.KC993196_atp6_genbank	NODE_38_length_26805_cov_463.564202	97.0	78.718
Candida.labiduridarum.KC993196_atp9_genbank	NODE_38_length_26805_cov_463.564202	97.0	79.204
Candida.labiduridarum.KC993196_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	82.246
Candida.labiduridarum.KC993196_cob_genbank	NODE_38_length_26805_cov_463.564202	97.0	80.126
Candida.labiduridarum.KC993196_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	81.385
Candida.labiduridarum.KC993196_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	80.536
Candida.labiduridarum.KC993196_cox2_genbank	NODE_38_length_26805_cov_463.564202	95.0	83.754
Candida.labiduridarum.KC993196_cox3_genbank	NODE_38_length_26805_cov_463.564202	99.0	79.018
Candida.labiduridarum.KC993196_nad1_genbank	NODE_38_length_26805_cov_463.564202	98.0	87.041
Candida.labiduridarum.KC993196_nad2_genbank	NODE_38_length_26805_cov_463.564202	78.0	75.963
Candida.labiduridarum.KC993196_nad3_genbank	NODE_38_length_26805_cov_463.564202	90.0	81.662
Candida.labiduridarum.KC993196_nad4_genbank	NODE_38_length_26805_cov_463.564202	85.0	80.079
Candida.labiduridarum.KC993196_nad4L_genbank	NODE_38_length_26805_cov_463.564202	92.0	78.838
Candida.labiduridarum.KC993196_nad5_genbank	NODE_38_length_26805_cov_463.564202	86.0	76.41
Candida.maltosa.EU267175_atp6_genbank	NODE_38_length_26805_cov_463.564202	96.0	74.454
Candida.maltosa.EU267175_cob_genbank	NODE_38_length_26805_cov_463.564202	88.0	81.703
Candida.maltosa.EU267175_cob_genbank	NODE_38_length_26805_cov_463.564202	88.0	81.132
Candida.maltosa.EU267175_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	78.054
Candida.maltosa.EU267175_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	79.663
Candida.maltosa.EU267175_cox2_genbank	NODE_38_length_26805_cov_463.564202	97.0	81.997
Candida.maltosa.EU267175_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	76.277
Candida.maltosa.EU267175_nad1_genbank	NODE_38_length_26805_cov_463.564202	94.0	82.472
Candida.maltosa.EU267175_nad3_genbank	NODE_38_length_26805_cov_463.564202	90.0	77.457
Candida.maltosa.EU267175_nad4_genbank	NODE_38_length_26805_cov_463.564202	90.0	76.301
Candida.metapsilosis.AY962591_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	74.497
Candida.metapsilosis.AY962591_atp9_genbank	NODE_38_length_26805_cov_463.564202	95.0	76.712
Candida.metapsilosis.AY962591_cob_genbank	NODE_38_length_26805_cov_463.564202	90.0	79.457
Candida.metapsilosis.AY962591_cob_genbank	NODE_38_length_26805_cov_463.564202	90.0	80.128
Candida.metapsilosis.AY962591_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	80.251
Candida.metapsilosis.AY962591_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	81.039
Candida.metapsilosis.AY962591_cox2_genbank	NODE_38_length_26805_cov_463.564202	94.0	84.189
Candida.metapsilosis.AY962591_cox2_genbank	NODE_38_length_26805_cov_463.564202	94.0	96.154
Candida.metapsilosis.AY962591_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	80.024
Candida.metapsilosis.AY962591_nad1_genbank	NODE_38_length_26805_cov_463.564202	96.0	82.301
Candida.metapsilosis.AY962591_nad4_genbank	NODE_38_length_26805_cov_463.564202	90.0	81.446
Candida.metapsilosis.AY962591_nad4L_genbank	NODE_38_length_26805_cov_463.564202	94.0	83.471
Candida.metapsilosis.AY962591_nad5_genbank	NODE_38_length_26805_cov_463.564202	89.0	77.386
Candida.metapsilosis.AY962591_nad5_genbank	NODE_38_length_26805_cov_463.564202	89.0	79.31
Candida.neerlandica.EU334437_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	74.601
Candida.neerlandica.EU334437_atp8_genbank	NODE_38_length_26805_cov_463.564202	93.0	77.305
Candida.neerlandica.EU334437_atp9_genbank	NODE_38_length_26805_cov_463.564202	83.0	80.729
Candida.neerlandica.EU334437_cob_genbank	NODE_38_length_26805_cov_463.564202	92.0	79.871
Candida.neerlandica.EU334437_cob_genbank	NODE_38_length_26805_cov_463.564202	92.0	76.652
Candida.neerlandica.EU334437_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	81.471
Candida.neerlandica.EU334437_cox1_genbank	NODE_38_length_26805_cov_463.564202	99.0	78.571
Candida.neerlandica.EU334437_cox2_genbank	NODE_38_length_26805_cov_463.564202	91.0	84.942
Candida.neerlandica.EU334437_cox3_genbank	NODE_38_length_26805_cov_463.564202	99.0	79.68
Candida.neerlandica.EU334437_nad1_genbank	NODE_38_length_26805_cov_463.564202	99.0	84.485
Candida.neerlandica.EU334437_nad2_genbank	NODE_38_length_26805_cov_463.564202	80.0	73.665
Candida.neerlandica.EU334437_nad2_genbank	NODE_38_length_26805_cov_463.564202	80.0	86.154
Candida.neerlandica.EU334437_nad3_genbank	NODE_38_length_26805_cov_463.564202	90.0	78.632
Candida.neerlandica.EU334437_nad4_genbank	NODE_38_length_26805_cov_463.564202	98.0	78.166
Candida.neerlandica.EU334437_nad4L_genbank	NODE_38_length_26805_cov_463.564202	92.0	78.838
Candida.neerlandica.EU334437_nad5_genbank	NODE_38_length_26805_cov_463.564202	80.0	76.267
Candida.neerlandica.EU334437_nad5_genbank	NODE_38_length_26805_cov_463.564202	80.0	75.591
[Candida].nivariensis.KU920681_cob_genbank	NODE_38_length_26805_cov_463.564202	89.0	83.364
[Candida].nivariensis.KU920681_cob_genbank	NODE_38_length_26805_cov_463.564202	89.0	79.184
[Candida].nivariensis.KU920681_cox1_genbank	NODE_38_length_26805_cov_463.564202	79.0	76.845
[Candida].nivariensis.KU920681_cox1_genbank	NODE_38_length_26805_cov_463.564202	79.0	77.778
[Candida].nivariensis.KU920681_cox2_genbank	NODE_38_length_26805_cov_463.564202	93.0	78.672
[Candida].norvegica.KF017573_atp9_genbank	NODE_38_length_26805_cov_463.564202	87.0	80.597
[Candida].norvegica.KF017573_cob_genbank	NODE_38_length_26805_cov_463.564202	94.0	82.893
[Candida].norvegica.KF017573_cob_genbank	NODE_38_length_26805_cov_463.564202	94.0	83.55
[Candida].norvegica.KF017573_cox1_genbank	NODE_38_length_26805_cov_463.564202	78.0	75.843
[Candida].norvegica.KF017573_cox1_genbank	NODE_38_length_26805_cov_463.564202	78.0	79.057
[Candida].norvegica.KF017573_cox2_genbank	NODE_38_length_26805_cov_463.564202	90.0	79.674
Candida.orthopsilosis.AY962590_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	74.799
Candida.orthopsilosis.AY962590_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	77.922
Candida.orthopsilosis.AY962590_cob_genbank	NODE_38_length_26805_cov_463.564202	88.0	80.79
Candida.orthopsilosis.AY962590_cob_genbank	NODE_38_length_26805_cov_463.564202	88.0	80.467
Candida.orthopsilosis.AY962590_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	80.435
Candida.orthopsilosis.AY962590_cox1_genbank	NODE_38_length_26805_cov_463.564202	98.0	80.113
Candida.orthopsilosis.AY962590_cox2_genbank	NODE_38_length_26805_cov_463.564202	94.0	85.16
Candida.orthopsilosis.AY962590_cox2_genbank	NODE_38_length_26805_cov_463.564202	94.0	96.154
Candida.orthopsilosis.AY962590_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	80.025
Candida.orthopsilosis.AY962590_nad1_genbank	NODE_38_length_26805_cov_463.564202	96.0	82.159
Candida.orthopsilosis.AY962590_nad2_genbank	NODE_38_length_26805_cov_463.564202	74.0	74.977
Candida.orthopsilosis.AY962590_nad4_genbank	NODE_38_length_26805_cov_463.564202	86.0	81.577
Candida.orthopsilosis.AY962590_nad4L_genbank	NODE_38_length_26805_cov_463.564202	94.0	84.016
Candida.orthopsilosis.AY962590_nad5_genbank	NODE_38_length_26805_cov_463.564202	92.0	77.97
Candida.orthopsilosis.AY962590_nad5_genbank	NODE_38_length_26805_cov_463.564202	92.0	80.0
Candida.oxycetoniae.KC993187_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	76.933
Candida.oxycetoniae.KC993187_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	81.897
Candida.oxycetoniae.KC993187_cob_genbank	NODE_38_length_26805_cov_463.564202	95.0	80.38
Candida.oxycetoniae.KC993187_cob_genbank	NODE_38_length_26805_cov_463.564202	95.0	79.747
Candida.oxycetoniae.KC993187_cox1_genbank	NODE_38_length_26805_cov_463.564202	100.0	77.376
Candida.oxycetoniae.KC993187_cox1_genbank	NODE_38_length_26805_cov_463.564202	100.0	77.166
Candida.oxycetoniae.KC993187_cox2_genbank	NODE_38_length_26805_cov_463.564202	100.0	85.109
Candida.oxycetoniae.KC993187_cox3_genbank	NODE_38_length_26805_cov_463.564202	100.0	80.736
Candida.oxycetoniae.KC993187_nad1_genbank	NODE_38_length_26805_cov_463.564202	98.0	84.324
Candida.oxycetoniae.KC993187_nad2_genbank	NODE_38_length_26805_cov_463.564202	78.0	75.599
Candida.oxycetoniae.KC993187_nad3_genbank	NODE_38_length_26805_cov_463.564202	81.0	80.938
Candida.oxycetoniae.KC993187_nad4_genbank	NODE_38_length_26805_cov_463.564202	89.0	81.066
Candida.oxycetoniae.KC993187_nad4L_genbank	NODE_38_length_26805_cov_463.564202	99.0	82.375
Candida.oxycetoniae.KC993187_nad5_genbank	NODE_38_length_26805_cov_463.564202	78.0	78.65
Candida.parapsilosis.X74411_atp6_genbank	NODE_38_length_26805_cov_463.564202	99.0	75.636
Candida.parapsilosis.X74411_atp9_genbank	NODE_38_length_26805_cov_463.564202	100.0	78.355
